,Year,Team,Total_Athletes,total_medal,Country_host,GDP,NOC,Population
287,1984,South Korea,41,41,USA,87024427973.0,KOR,40405956.0
288,1984,Spain,19,19,USA,170487000000.0,ESP,38330364.0
289,1984,Sweden,27,34,USA,103534000000.0,SWE,8336605.0
290,1984,Switzerland,12,13,USA,,CHE,6441865.0
291,1984,Syria,1,1,USA,17589184557.0,SYR,10293049.0
292,1984,Taiwan,1,1,USA,,TPE,19306.762500000004
293,1984,Thailand,1,1,USA,40042826244.0,THA,51108082.0
294,1984,Turkey,3,3,USA,61678280115.0,TUR,48114105.0
295,1984,UK,66,71,USA,489618000000.0,GBR,56422072.0
296,1984,USA,290,352,USA,3638140000000.0,USA,235825000.0
297,1984,Venezuela,3,3,USA,78540255814.0,VEN,17057785.0
298,1984,Zambia,1,1,USA,,ZMB,6738765.0
299,1988,Argentina,13,13,South Korea,111106000000.0,ARG,31795517.0
300,1988,Australia,33,35,South Korea,189376000000.0,AUS,16532200.0
301,1988,Austria,1,1,South Korea,124168000000.0,AUT,7585317.0
302,1988,Belgium,2,2,South Korea,150194000000.0,BEL,9901664.0
303,1988,Brazil,23,23,South Korea,294084000000.0,BRA,144001542.0
304,1988,Bulgaria,37,41,South Korea,,BGR,8981446.0
305,1988,Canada,22,23,South Korea,431317000000.0,CAN,26895000.0
306,1988,Chile,1,1,South Korea,107860703842.5,CHI,138187.0
307,1988,China,44,52,South Korea,272973000000.0,CHN,1101630000.0
308,1988,China,44,52,South Korea,272973000000.0,HKG,5627600.0
309,1988,Colombia,1,1,South Korea,36373307085.0,COL,32975535.0
310,1988,Costa Rica,1,1,South Korea,,CRC,2968.103000000001
311,1988,Curacao,1,1,South Korea,,CUW,149254.0
312,1988,Czech Republic,9,10,South Korea,,CZE,10355276.0
313,1988,Denmark,7,7,South Korea,,DNK,5129516.0
314,1988,Djibouti,1,1,South Korea,373371738.0,DJI,528999.0
315,1988,Finland,4,4,South Korea,91642093873.0,FIN,4946481.0
316,1988,France,27,29,South Korea,938368000000.0,FRA,57836486.0
317,1988,Germany,247,296,South Korea,,DEU,78144619.0
318,1988,Greece,1,1,South Korea,,GRC,10036983.0
319,1988,Hungary,38,44,South Korea,1997995000000.0,HUN,10596487.0
320,1988,Indonesia,3,3,South Korea,,IDN,175000916.0
321,1988,Iran,1,1,South Korea,,IRN,53075618.0
322,1988,Italy,27,29,South Korea,803055000000.0,ITA,56629288.0
323,1988,Jamaica,7,7,South Korea,3286987552.0,JAM,2393534.0
324,1988,Japan,18,20,South Korea,2514280000000.0,JPN,122613000.0
325,1988,Kenya,9,9,South Korea,7970820531.0,KEN,21871442.0
326,1988,Mexico,2,2,South Korea,140264000000.0,MEX,82083919.0
327,1988,Mongolia,1,1,South Korea,,MNG,2089714.0
328,1988,Morocco,3,3,South Korea,21765261042.0,MAR,23961820.0
329,1988,Netherlands,45,45,South Korea,,NLD,14760094.0
330,1988,New Zealand,20,24,South Korea,40377592077.0,NZL,3283400.0
331,1988,Norway,22,22,South Korea,94230055659.0,NOR,4209488.0
332,1988,Pakistan,1,1,South Korea,33351528115.0,PAK,101474835.0
333,1988,Peru,12,12,South Korea,20702298397.0,PER,20909895.0
334,1988,Philippines,1,1,South Korea,,PHL,58845205.0
335,1988,Poland,19,21,South Korea,50892164709.0,POL,37824487.0
336,1988,Portugal,1,1,South Korea,,PRT,10019610.0
337,1988,Romania,38,58,South Korea,38413636364.0,ROU,23057662.0
338,1988,Russia,264,300,South Korea,,RUS,146857000.0
339,1988,Senegal,1,1,South Korea,5040708115.0,SEN,7107976.0
340,1988,Serbia,62,63,South Korea,,SRB,7884.455499999999
341,1988,South Korea,72,77,South Korea,146133000000.0,KOR,42031247.0
342,1988,Spain,5,5,South Korea,317882000000.0,ESP,38766939.0
343,1988,Suriname,1,1,South Korea,979850000.0,SUR,391391.0
344,1988,Sweden,15,16,South Korea,180429000000.0,SWE,8436489.0
345,1988,Switzerland,7,8,South Korea,,CHE,6593386.0
346,1988,Thailand,1,1,South Korea,50535438696.0,THA,54912334.0
347,1988,Turkey,2,2,South Korea,87172789528.0,TUR,52053704.0
348,1988,UK,49,54,South Korea,745163000000.0,GBR,56928327.0
349,1988,USA,173,207,South Korea,4870220000000.0,USA,244499000.0
350,1988,"Virgin Islands, US",1,1,South Korea,,VIR,104500.0
351,1992,Algeria,2,2,Spain,,DZA,27181094.0
352,1992,Argentina,2,2,Spain,189720000000.0,ARG,33655151.0
353,1992,Australia,53,57,Spain,326069000000.0,AUS,17495000.0
354,1992,Austria,6,6,Spain,173794000000.0,AUT,7840709.0
355,1992,Bahamas,1,1,Spain,,BHS,266134.0
356,1992,Belgium,3,3,Spain,211638000000.0,BEL,10045158.0
357,1992,Brazil,14,14,Spain,602860000000.0,BRA,154564278.0
358,1992,Bulgaria,16,17,Spain,,BGR,8540164.0
359,1992,Canada,37,44,Spain,610328000000.0,CAN,28519597.0
360,1992,China,68,82,Spain,383373000000.0,CHN,1164970000.0
361,1992,China,68,82,Spain,383373000000.0,HKG,5800500.0
362,1992,Colombia,1,1,Spain,41239551378.0,COL,35558682.0
363,1992,Croatia,14,15,Spain,,HRV,4470000.0
364,1992,Cuba,68,69,Spain,24316556026.0,CUB,10733363.0
365,1992,Czech Republic,8,8,Spain,,CZE,10319123.0
366,1992,Denmark,14,14,Spain,,DNK,5171370.0
367,1992,Estonia,3,3,Spain,294531434178.5,EST,1533091.0
368,1992,Ethiopia,3,3,Spain,13463868357.0,ETH,51647768.0
369,1992,Finland,7,7,Spain,127866000000.0,FIN,5041992.0
370,1992,France,56,57,Spain,1275560000000.0,FRA,58851216.0
371,1992,Germany,175,198,Spain,,DEU,80624598.0
372,1992,Ghana,20,20,Spain,6596546196.0,GHA,15463854.0
373,1992,Greece,2,2,Spain,,GRC,10399061.0
